horse_id,父,母,母父
2018100297,ジョーカプチーノ,ピントゥハティ,アドマイヤムーン
2021110022,Golden Horn(英),Entertainment,Halling
2019106330,ホッコータルマエ,サティーヌアロム,シンボリクリスエス
2018100752,エイシンフラッシュ,サトノサンシャイン,ステイゴールド
2021100016,エイシンヒカリ,ポリリズム,バチアーBachir(愛)
2022100194,マジェスティックウォリアーMajestic Warrior(米),フジインザスカイ,ディープスカイ
2021104058,ダンカークDunkirk(米),サクラナスカ,サクラバクシンオー
2022100574,シニスターミニスターSinister Minister(米),ヘルディン,ロードアルティマ
2022107359,モズアスコット,スイートガーデン,ブラックタイド
2022103859,ルヴァンスレーヴ,コウエイラブリー,エンパイアメーカーEmpire Maker(米)
2019105041,ロードカナロア,アドマイヤテンバ,クロフネ
2021100639,ドレフォンDrefong(米),アカカホール,ダイワメジャー
2019102163,パイロPyro(米),フォーミー,アドマイヤマックス
2022106568,ディスクリートキャットDiscreet Cat(米),ドナリサ,サウスヴィグラス
2020105949,ダノンレジェンド,ブライアンズイブ,ブライアンズタイムBrian's Time(米)
2021100674,レイデオロ,アスカビレン,ブラックタイド
2021105958,ニューイヤーズデイ,サオヒメ,サンデーサイレンスSunday Silence(米)
2020104960,ビッグアーサー,トロピカルガーデン,ハイアーゲーム
2023103676,コントレイル,アレイヴィングビューティA Raving Beauty(独),Mastercraftsman
2023100652,シャンハイボビーShanghai Bobby(米),シャドウライフ,サクラバクシンオー
2023107267,キズナ,ムミービーチMumy Beach(亜),Treasure Beach(英)
2023109040,アニマルキングダムAnimal Kingdom(米),メイショウアシタバ,スタチューオブリバティStatue of Liberty(米)
2023100609,マインドユアビスケッツMind Your Biscuits(米),ペガサスハーツ,ハーツクライ
2023102766,シャンハイボビーShanghai Bobby(米),スマートスピカ,キングカメハメハ
2023102891,マジェスティックウォリアーMajestic Warrior(米),オリーブティアラ,キングカメハメハ
2023102197,ルヴァンスレーヴ,ココナフレイバー,スウェプトオーヴァーボードSwept Overboard(米)
2023106339,タワーオブロンドン,アイリッシュペコ,Sea The StarsSea the Stars(愛)
2023100601,ロジャーバローズ,ケイト,ブライアンズタイムBrian's Time(米)
2023105244,ニューイヤーズデイ,ナチュラルスタンス,フジキセキ
2023106068,コントレイル,アオイプリンセス,キングカメハメハ
2023104553,レイデオロ,フルマークス,Kitten's Joy(米)
2023104384,シニスターミニスターSinister Minister(米),キエレ,Distorted Humor(米)
2023101526,サートゥルナーリア,ショウサンウルル,Grand Slam
2023107545,Charlatan(米),Streetwithnoname,ストリートセンスStreet Sense(米)
2023105059,カリフォルニアクロームCalifornia Chrome(米),デンファレ,フジキセキ
2023105466,ナダルNadal(米),フェアリーバローズ,ロードカナロア
2023106239,ダノンプレミアム,ナムラテス,ダイワメジャー
2023101738,シュヴァルグラン,パームジュメイラ,ロードカナロア
2023105816,ロードカナロア,フラーティングアウェイFlirting Away(米),Distorted Humor(米)
2023100287,パイロPyro(米),ジョーカナチャン,ロードカナロア
2023103189,フィレンツェファイア,テンザンオトヒメ,フジキセキ
2023104997,シャンハイボビーShanghai Bobby(米),アルケミスト,ダイワメジャー
2023104747,シャンハイボビーShanghai Bobby(米),プレイズラン,ディープブリランテ
2023105026,マテラスカイ,マーテル,ドゥラメンテ
2023100378,ベンバトルBenbatl(英),カワカミサクラKawakami Sakura(愛),Danehill Dancer(愛)
2023103054,フィレンツェファイア,マリアン,キンシャサノキセキ
2023104705,サンダースノーThunder Snow(愛),ニシノマメフク,スペシャルウィーク
2023101506,ビッグアーサー,クリノハッチャン,ステイゴールド
2023110083,Charlatan(米),Girl Talk,Medaglia d'Oro
2023100230,レイデオロ,アンジュエ,アグネスタキオン
2023105508,スクリーンヒーロー,エイシンミノアカ,キングカメハメハ
2023102630,キズナ,サトノジェイド,Cape Cross
2023105329,ナダルNadal(米),ヘアケイリー,ディープインパクト
2023103395,レイデオロ,コレクターアイテム,ハーツクライ
2023100477,リアルスティール,エアベルヘザー,エンパイアメーカーEmpire Maker(米)
2023103904,ルヴァンスレーヴ,メジロコウミョウ,キングカメハメハ
2023103419,ブリックスアンドモルタルBricks and Mortar(米),ザレマ,ダンスインザダーク
2023105444,ロジャーバローズ,ネガイ,ルーラーシップ
2023103098,アメリカンペイトリオット,メジャータイフーン,ダイワメジャー
2023105889,ルヴァンスレーヴ,ベリーフ,スペシャルウィーク
2023110082,Gun Runner(米),Miss Stormy D,Tapizar
2023106565,ミッキーアイル,メイショウルクール,エンパイアメーカーEmpire Maker(米)
2023102773,ロジャーバローズ,プリティホワイト,クロフネ
2023104448,デクラレーションオブウォー,プラージュ,スペシャルウィーク
2023107041,ダノンキングリー,ショウリュウムーン,キングカメハメハ
2023100823,スワーヴリチャード,アズレージョ,タートルボウルTurtle Bowl(愛)
2023107359,コントレイル,ロクセラーナ,キングカメハメハ
2023106899,ドレフォンDrefong(米),ヴィブロス,ディープインパクト
2023103166,インディチャンプ,ハイドラン,ローエングリン
2023106380,エピファネイア,ディメンシオン,ディープインパクト
2023101200,モーリス,フラワーバレイFlower Valley(米),ディスクリートキャットDiscreet Cat(米)
2023100217,モーリス,メープル,マンハッタンカフェ
2023101893,スワーヴリチャード,キスオンザグリーン,オルフェーヴル
2023103387,ロードカナロア,クイーンズリング,マンハッタンカフェ
2023106998,ワールドエース,コケレールCoquerelle(愛),Zamindar
2023105091,フィエールマン,サンヴィセンテ,ジャスタウェイ
2023101742,ディーマジェスティ,ホッコーエレノア,クロフネ
2023100275,リアルスティール,ヴォレダンルシエル,キングカメハメハ
2023100708,タワーオブロンドン,サラマンドラ,パイロPyro(米)
2023103606,エピファネイア,レッドルレーヴ,キングカメハメハ
2023100909,サートゥルナーリア,オーヴィレール,シンボリクリスエス
2023104667,インディチャンプ,エイシンキルデアA Shin Kildare(米),Kitten's Joy(米)
2023107287,ハービンジャーHarbinger(英),ライツェント,スペシャルウィーク
